                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9896,                 3.9377,                 1.3495,                0.01087,                0.98278,                0.21109,                0.09043,                 1.6205,                 3.5826,                  1.245,               0.070417,               0.003287,               0.003287
                      1,                 1.4229,                 2.6081,                 1.1056,                0.30316,                0.54106,                0.35973,                0.21875,                 1.3202,                 2.3806,                 1.1105,               0.038232,              0.0044356,              0.0044356
                      2,                 1.1935,                 2.2646,                 1.0184,                0.45026,                0.65956,                0.55115,                 0.4006,                0.99914,                 1.9573,                 1.0005,              0.0038472,              0.0033843,              0.0033843
