                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.5858,                 18.789,                 2.4964,                      0,                      0,                      0,                      0,                 3.7652,                 7.1426,                 1.4024,                 0.0874,                 0.0014,                 0.0014
                      1,                 4.3784,                 9.8272,                 1.6288,                      0,                      0,                      0,                      0,                 3.7159,                 7.1627,                 1.3211,               0.072943,               0.001943,               0.001943
                      2,                 3.9892,                 7.9181,                 1.4341,                      0,                      0,                      0,                      0,                 3.3953,                 6.6444,                 1.2061,               0.057496,               0.001496,               0.001496
