                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1664,                 1.3865,                 1.2171,                0.65018,                0.54868,                0.61742,                0.45577,                 1.0795,                 1.0966,                 1.1257,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1813,                  1.427,                 1.2552,                0.67651,                0.58413,                0.64548,                 0.4783,                 1.0561,                 1.0613,                 1.1123,               0.086005,               0.001005,               0.001005
                      2,                 1.1725,                 1.3185,                 1.2507,                0.67279,                0.59216,                0.65957,                0.49066,                 1.0527,                 1.0402,                 1.1057,               0.077782,               0.000782,               0.000782
